QID,SSID,Wordnet Lemmas,Wikidata Labels,Count,Accept,Notes,Extra Type
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08542298-n,"city, metropolis, urban center","big city, city 100000+",631,TRUE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08514304-n,"area, country","big city, city 100000+",181,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08535783-n,capital,"big city, city 100000+",180,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08665520-n,seat,"big city, city 100000+",180,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08540894-n,"center, centre, middle, heart, eye","big city, city 100000+",180,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08651532-n,port,"big city, city 100000+",141,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08596234-n,"geographic point, geographical point","big city, city 100000+",141,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08637636-n,point,"big city, city 100000+",141,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08709407-n,national capital,"big city, city 100000+",136,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08713353-n,state capital,"big city, city 100000+",35,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08683242-n,town,"big city, city 100000+",19,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08656017-n,"port of entry, point of entry","big city, city 100000+",13,FALSE,,
http://www.wikidata.org/entity/Q1549591,https://en-word.net/id/oewn-08713012-n,provincial capital,"big city, city 100000+",9,FALSE,,
http://www.wikidata.org/entity/Q864503,https://en-word.net/id/oewn-10580065-n,scientist,biologist,5,TRUE,,09875036-n
http://www.wikidata.org/entity/Q864503,https://en-word.net/id/oewn-09786620-n,"actor, doer, worker",biologist,5,FALSE,,
http://www.wikidata.org/entity/Q158454,https://en-word.net/id/oewn-08618548-n,national park,biosphere reserve,6,FALSE,,
http://www.wikidata.org/entity/Q158454,https://en-word.net/id/oewn-08632724-n,"park, parkland",biosphere reserve,6,FALSE,,
http://www.wikidata.org/entity/Q158454,https://en-word.net/id/oewn-08691133-n,"tract, piece of land, piece of ground, parcel of land, parcel",biosphere reserve,6,FALSE,,
http://www.wikidata.org/entity/Q158454,https://en-word.net/id/oewn-08591861-n,"geographical area, geographic area, geographical region, geographic region",biosphere reserve,6,FALSE,,
http://www.wikidata.org/entity/Q158454,https://en-word.net/id/oewn-08648560-n,region,biosphere reserve,6,FALSE,,
http://www.wikidata.org/entity/Q158454,https://en-word.net/id/oewn-00027365-n,location,biosphere reserve,6,FALSE,,
http://www.wikidata.org/entity/Q29154430,https://en-word.net/id/oewn-06406508-n,book,"book of the Bible, Bible book",63,TRUE,,
http://www.wikidata.org/entity/Q29154430,https://en-word.net/id/oewn-06403644-n,"section, subdivision","book of the Bible, Bible book",63,FALSE,,
http://www.wikidata.org/entity/Q29154430,https://en-word.net/id/oewn-06374360-n,"writing, written material, piece of writing","book of the Bible, Bible book",63,FALSE,,
http://www.wikidata.org/entity/Q29154430,https://en-word.net/id/oewn-07034009-n,music,"book of the Bible, Bible book",63,FALSE,,
